# Arch package name -> Gentoo overlay location.
# Columns: <arch-pkgname> <category> <gentoo-pkgname>, tab separated.
# A package ships a Gentoo ebuild iff it is listed here AND
# gentoo/<category>/<gentoo-pkgname>/ exists; bin/sync-gentoo reads this
# table to reconcile ebuilds with the PKGBUILDs in the omarchy-pkgs/ submodule.
#
# Gentoo package names drop Arch-isms where Gentoo convention is firm:
# -git suffixes (sources are pinned tarballs, not live git)
# ttf- prefixes on fonts
# names that merely repeat the category
1password	app-admin	1password
1password-beta	app-admin	1password-beta
1password-cli	app-admin	1password-cli
bambustudio-bin	media-gfx	bambustudio-bin
bun-bin	dev-util	bun-bin
claude-code	app-misc	claude-code
crush-bin	dev-util	crush-bin
cursor-bin	dev-util	cursor-bin
dbxcli-bin	net-misc	dbxcli-bin
dropbox	net-misc	dropbox
elephant	gui-apps	elephant
# elephant-* are many-to-one: one merged ebuild ships the daemon
# and every provider plugin (same tag, same source).
elephant-all	gui-apps	elephant
elephant-archlinuxpkgs	gui-apps	elephant
elephant-bluetooth	gui-apps	elephant
elephant-calc	gui-apps	elephant
elephant-clipboard	gui-apps	elephant
elephant-desktopapplications	gui-apps	elephant
elephant-files	gui-apps	elephant
elephant-menus	gui-apps	elephant
elephant-providerlist	gui-apps	elephant
elephant-runner	gui-apps	elephant
elephant-symbols	gui-apps	elephant
elephant-todo	gui-apps	elephant
elephant-unicode	gui-apps	elephant
elephant-websearch	gui-apps	elephant
elsewhen	gui-apps	elsewhen
gum	app-shells	gum
heroic-games-launcher-bin	games-util	heroic-games-launcher-bin
hyprshade	gui-wm	hyprshade
libretro-database-git	games-emulation	libretro-database
lmstudio-bin	app-misc	lmstudio-bin
localsend-bin	net-misc	localsend-bin
makima-bin	app-misc	makima-bin
minecraft-launcher	games-action	minecraft-launcher
mise-bin	dev-util	mise-bin
nordvpn-bin	net-vpn	nordvpn-bin
omarchy-chromium-bin	www-client	omarchy-chromium-bin
omarchy-walker	gui-apps	omarchy-walker
omazed	app-misc	omazed
omaspeak-bin	app-accessibility	omaspeak-bin
omawake-bin	app-accessibility	omawake-bin
omarchy	app-misc	omarchy
omarchy-audio-tuner	media-sound	omarchy-audio-tuner
omarchy-billboard-generator	media-gfx	omarchy-billboard-generator
omarchy-emacs	app-editors	omarchy-emacs
omarchy-fish	app-shells	omarchy-fish
omarchy-meeting-recorder-bin	media-sound	omarchy-meeting-recorder-bin
omarchy-settings	app-misc	omarchy-settings
omarchy-zsh	app-shells	omarchy-zsh
once-bin	app-misc	once-bin
openai-codex-bin	dev-util	openai-codex-bin
perplexity	app-misc	perplexity
python-terminaltexteffects	dev-python	python-terminaltexteffects
retroarch-joypad-autoconfig-git	games-emulation	retroarch-joypad-autoconfig
schist-bin	media-gfx	schist-bin
slap-notes-bin	app-misc	slap-notes-bin
sublime-text-4	app-editors	sublime-text
tobi-try	dev-util	try
tensaku	gui-apps	tensaku
ttf-ia-writer	media-fonts	ia-writer
ttf-jetbrains-mono-nerd-basic	media-fonts	jetbrains-mono-nerd-basic
ttfx	app-misc	ttfx
typora	app-editors	typora
ufw-docker	net-firewall	ufw-docker
visual-studio-code-bin	dev-util	visual-studio-code-bin
xdg-terminal-exec	x11-misc	xdg-terminal-exec
